frame,people,distance_offenders,no_mask,fps
480,1,0,0,14.33
481,1,0,0,14.57
482,1,0,0,14.39
483,1,0,0,15.25
484,1,0,0,15.15
485,0,0,0,15.71
486,0,0,0,15.14
487,1,0,0,15.55
488,1,0,0,14.99
489,1,0,0,15.13
490,1,0,0,16.25
491,0,0,0,18.18
492,1,0,0,16.28
493,0,0,0,20.19
494,1,0,0,14.17
495,1,0,0,15.00
496,1,0,0,15.20
497,1,0,0,16.05
498,1,0,0,12.90
499,1,0,0,13.19
500,1,0,0,14.70
501,1,0,0,15.28
502,1,0,0,15.57
503,1,0,0,16.07
504,1,0,0,16.17
505,1,0,0,17.31
506,1,0,0,16.31
507,1,0,0,16.02
508,1,0,0,16.37
509,1,0,0,17.48
510,1,0,0,16.75
511,1,0,0,16.43
512,1,0,0,17.77
513,1,0,0,17.30
514,1,0,0,16.55
515,1,0,0,16.06
516,1,0,0,16.05
517,1,0,0,15.93
518,1,0,0,15.99
519,1,0,0,15.86
520,1,0,0,15.86
521,1,0,0,16.00
522,1,0,0,16.17
523,1,0,0,15.89
524,1,0,0,16.72
525,1,0,0,17.31
526,1,0,0,16.59
527,1,0,0,16.33
528,1,0,0,17.59
529,1,0,0,16.91
530,1,0,0,15.07
531,1,0,0,16.22
532,1,0,0,17.56
533,1,0,0,16.93
534,1,0,0,15.93
535,1,0,0,16.12
536,1,0,0,16.28
537,1,0,0,16.59
538,1,0,0,17.35
539,1,0,0,16.53
540,1,0,0,16.34
541,1,0,0,17.54
542,1,0,0,16.89
543,1,0,0,16.10
544,1,0,0,16.09
545,1,0,0,16.82
546,1,0,0,17.53
547,1,0,0,16.79
548,1,0,0,16.39
549,1,0,0,15.88
550,1,0,0,16.27
551,1,0,0,15.85
552,1,0,0,16.73
553,1,0,0,17.49
554,1,0,0,15.66
555,1,0,0,16.27
556,1,0,0,16.71
557,1,0,0,17.52
558,1,0,0,17.30
559,1,0,0,17.60
560,1,0,0,17.46
561,1,0,0,16.50
562,1,0,0,16.08
563,1,0,0,16.19
564,1,0,0,16.08
565,1,0,0,16.08
566,1,0,0,17.53
567,0,0,0,17.55
568,0,0,0,17.93
569,1,0,0,16.57
570,1,0,0,17.77
571,1,0,0,16.86
572,1,0,0,16.86
573,1,0,0,17.51
574,1,0,0,16.87
575,1,0,0,16.41
576,1,0,0,17.81
577,1,0,0,17.42
578,1,0,0,16.38
579,1,0,0,16.35
580,1,0,0,15.80
581,1,0,0,16.11
582,1,0,0,16.13
583,1,0,0,16.94
584,1,0,0,17.56
585,1,0,0,16.86
586,1,0,0,15.61
587,1,0,0,16.31
588,1,0,0,17.53
589,1,0,0,17.49
590,1,0,0,16.75
591,1,0,0,17.63
592,1,0,0,16.73
593,1,0,0,16.35
594,1,0,0,15.74
595,1,0,0,15.89
596,1,0,0,16.07
597,1,0,0,16.02
598,1,0,0,16.13
599,1,0,0,16.87
600,1,0,0,17.52
601,1,0,0,16.87
602,1,0,0,10.79
603,1,0,0,10.68
604,1,0,0,16.51
605,1,0,0,11.36
606,1,0,1,10.81
607,1,0,0,16.00
608,1,0,0,16.37
609,1,0,0,16.52
610,1,0,0,11.41
611,1,0,0,16.17
612,1,0,0,17.46
613,1,0,0,16.77
614,1,0,0,16.38
615,1,0,0,16.16
616,1,0,0,16.37
617,1,0,0,16.41
618,1,0,0,17.49
619,1,0,0,16.21
620,1,0,0,16.42
621,1,0,0,17.95
622,1,0,0,16.82
623,1,0,0,16.11
624,1,0,0,16.00
625,1,0,0,16.04
626,1,0,0,16.29
627,1,0,0,16.67
628,1,0,0,17.68
629,1,0,0,16.80
630,1,0,0,16.05
631,1,0,0,16.14
632,1,0,0,17.73
633,1,0,0,17.49
634,1,0,0,16.56
635,1,0,0,16.09
636,1,0,0,15.96
637,1,0,0,15.95
638,1,0,0,16.24
639,1,0,0,16.89
640,1,0,0,17.22
641,1,0,0,16.50
642,1,0,0,16.41
643,1,0,0,17.49
644,1,0,0,17.04
645,1,0,0,16.24
646,1,0,0,16.15
